# test name,category,real vulnerability,cwe
BenchmarkTest00009,hash,False,328
BenchmarkTest00027,sqli,True,89
BenchmarkTest00038,sqli,True,89
BenchmarkTest00041,xss,True,79
BenchmarkTest00057,crypto,True,327
BenchmarkTest00060,pathtraver,True,22
BenchmarkTest00073,hash,True,328
BenchmarkTest00076,hash,False,328
BenchmarkTest00077,cmdi,True,78
BenchmarkTest00080,weakrand,True,330
BenchmarkTest00090,cmdi,False,78
BenchmarkTest00091,cmdi,True,78
BenchmarkTest00097,trustbound,False,501
BenchmarkTest00100,sqli,True,89
BenchmarkTest00103,sqli,True,89
BenchmarkTest00128,crypto,False,327
BenchmarkTest00130,crypto,False,327
BenchmarkTest00133,pathtraver,True,22
BenchmarkTest00152,xss,True,79
BenchmarkTest00154,xss,True,79
BenchmarkTest00165,weakrand,True,330
BenchmarkTest00168,weakrand,True,330
BenchmarkTest00176,cmdi,True,78
BenchmarkTest00178,weakrand,False,330
BenchmarkTest00201,sqli,False,89
BenchmarkTest00211,crypto,False,327
BenchmarkTest00219,pathtraver,True,22
BenchmarkTest00248,weakrand,False,330
BenchmarkTest00251,trustbound,True,501
BenchmarkTest00256,crypto,True,327
BenchmarkTest00259,crypto,False,327
BenchmarkTest00264,pathtraver,True,22
BenchmarkTest00272,hash,True,328
BenchmarkTest00283,xss,False,79
BenchmarkTest00287,xss,True,79
BenchmarkTest00307,cmdi,False,78
BenchmarkTest00308,cmdi,False,78
BenchmarkTest00314,weakrand,False,330
BenchmarkTest00315,weakrand,False,330
BenchmarkTest00317,weakrand,False,330
BenchmarkTest00319,weakrand,False,330
BenchmarkTest00335,sqli,True,89
BenchmarkTest00347,weakrand,True,330
BenchmarkTest00357,crypto,False,327
BenchmarkTest00362,pathtraver,True,22
BenchmarkTest00366,pathtraver,False,22
BenchmarkTest00401,weakrand,True,330
BenchmarkTest00403,securecookie,True,614
BenchmarkTest00416,weakrand,False,330
BenchmarkTest00427,trustbound,True,501
BenchmarkTest00442,xpathi,True,643
BenchmarkTest00446,crypto,True,327
BenchmarkTest00466,hash,False,328
BenchmarkTest00470,xss,False,79
BenchmarkTest00519,sqli,False,89
BenchmarkTest00534,hash,True,328
BenchmarkTest00544,xss,False,79
BenchmarkTest00545,xss,False,79
BenchmarkTest00553,xss,False,79
BenchmarkTest00557,xss,True,79
BenchmarkTest00559,cmdi,False,78
BenchmarkTest00570,cmdi,False,78
BenchmarkTest00578,weakrand,False,330
BenchmarkTest00582,weakrand,False,330
BenchmarkTest00583,weakrand,False,330
BenchmarkTest00588,trustbound,True,501
BenchmarkTest00602,sqli,False,89
BenchmarkTest00603,sqli,True,89
BenchmarkTest00611,crypto,True,327
BenchmarkTest00614,crypto,True,327
BenchmarkTest00615,crypto,True,327
BenchmarkTest00624,pathtraver,True,22
BenchmarkTest00633,hash,False,328
BenchmarkTest00634,hash,True,328
BenchmarkTest00635,hash,True,328
BenchmarkTest00637,hash,True,328
BenchmarkTest00638,hash,True,328
BenchmarkTest00642,xss,True,79
BenchmarkTest00644,xss,True,79
BenchmarkTest00646,xss,False,79
BenchmarkTest00649,xss,False,79
BenchmarkTest00689,crypto,False,327
BenchmarkTest00691,crypto,True,327
BenchmarkTest00693,crypto,True,327
BenchmarkTest00702,weakrand,True,330
BenchmarkTest00707,hash,False,328
BenchmarkTest00722,xss,False,79
BenchmarkTest00724,xss,True,79
BenchmarkTest00771,sqli,True,89
BenchmarkTest00803,xss,True,79
BenchmarkTest00804,xss,True,79
BenchmarkTest00810,xss,True,79
BenchmarkTest00853,crypto,True,327
BenchmarkTest00859,crypto,True,327
BenchmarkTest00887,xss,False,79
BenchmarkTest00888,xss,False,79
BenchmarkTest00894,xss,False,79
BenchmarkTest00935,sqli,False,89
BenchmarkTest00942,crypto,False,327
BenchmarkTest00961,hash,True,328
BenchmarkTest00965,hash,False,328
BenchmarkTest00981,cmdi,True,78
BenchmarkTest00985,weakrand,False,330
BenchmarkTest01007,sqli,True,89
BenchmarkTest01014,xpathi,False,643
BenchmarkTest01020,crypto,True,327
BenchmarkTest01023,ldapi,True,90
BenchmarkTest01024,ldapi,False,90
BenchmarkTest01028,pathtraver,False,22
BenchmarkTest01032,pathtraver,True,22
BenchmarkTest01034,pathtraver,True,22
BenchmarkTest01043,hash,True,328
BenchmarkTest01073,weakrand,False,330
BenchmarkTest01075,weakrand,False,330
BenchmarkTest01077,weakrand,False,330
BenchmarkTest01091,sqli,True,89
BenchmarkTest01094,sqli,True,89
BenchmarkTest01095,sqli,False,89
BenchmarkTest01102,crypto,True,327
BenchmarkTest01105,crypto,True,327
BenchmarkTest01119,weakrand,True,330
BenchmarkTest01120,hash,False,328
BenchmarkTest01121,hash,False,328
BenchmarkTest01123,hash,True,328
BenchmarkTest01146,trustbound,False,501
BenchmarkTest01152,crypto,False,327
BenchmarkTest01180,xss,False,79
BenchmarkTest01192,cmdi,True,78
BenchmarkTest01199,weakrand,False,330
BenchmarkTest01206,trustbound,True,501
BenchmarkTest01213,sqli,False,89
BenchmarkTest01215,sqli,False,89
BenchmarkTest01241,ldapi,True,90
BenchmarkTest01244,hash,True,328
BenchmarkTest01258,xss,True,79
BenchmarkTest01267,xss,True,79
BenchmarkTest01277,weakrand,True,330
BenchmarkTest01283,securecookie,True,614
BenchmarkTest01284,xss,True,79
BenchmarkTest01305,sqli,False,89
BenchmarkTest01318,crypto,True,327
BenchmarkTest01327,ldapi,False,90
BenchmarkTest01341,xss,False,79
BenchmarkTest01354,weakrand,True,330
BenchmarkTest01386,sqli,False,89
BenchmarkTest01406,pathtraver,False,22
BenchmarkTest01407,pathtraver,False,22
BenchmarkTest01419,xss,False,79
BenchmarkTest01422,xss,False,79
BenchmarkTest01432,weakrand,True,330
BenchmarkTest01435,weakrand,True,330
BenchmarkTest01436,securecookie,False,614
BenchmarkTest01441,cmdi,True,78
BenchmarkTest01451,weakrand,False,330
BenchmarkTest01452,weakrand,False,330
BenchmarkTest01497,pathtraver,True,22
BenchmarkTest01520,weakrand,True,330
BenchmarkTest01523,securecookie,False,614
BenchmarkTest01529,cmdi,False,78
BenchmarkTest01533,cmdi,True,78
BenchmarkTest01569,ldapi,False,90
BenchmarkTest01579,hash,True,328
BenchmarkTest01586,xss,False,79
BenchmarkTest01597,xss,True,79
BenchmarkTest01602,weakrand,True,330
BenchmarkTest01605,securecookie,False,614
BenchmarkTest01615,trustbound,True,501
BenchmarkTest01623,sqli,True,89
BenchmarkTest01626,sqli,True,89
BenchmarkTest01641,crypto,True,327
BenchmarkTest01649,hash,True,328
BenchmarkTest01653,hash,True,328
BenchmarkTest01667,xss,True,79
BenchmarkTest01674,cmdi,True,78
BenchmarkTest01686,cmdi,False,78
BenchmarkTest01687,cmdi,False,78
BenchmarkTest01693,cmdi,False,78
BenchmarkTest01695,weakrand,False,330
BenchmarkTest01716,sqli,True,89
BenchmarkTest01731,sqli,True,89
BenchmarkTest01735,xpathi,False,643
BenchmarkTest01747,pathtraver,False,22
BenchmarkTest01756,ldapi,False,90
BenchmarkTest01763,hash,False,328
BenchmarkTest01764,hash,False,328
BenchmarkTest01780,cmdi,False,78
BenchmarkTest01790,xss,False,79
BenchmarkTest01797,weakrand,False,330
BenchmarkTest01805,sqli,False,89
BenchmarkTest01819,sqli,False,89
BenchmarkTest01823,crypto,True,327
BenchmarkTest01829,crypto,True,327
BenchmarkTest01833,pathtraver,True,22
BenchmarkTest01854,weakrand,True,330
BenchmarkTest01870,weakrand,False,330
BenchmarkTest01890,sqli,True,89
BenchmarkTest01904,pathtraver,True,22
BenchmarkTest01909,ldapi,False,90
BenchmarkTest01910,weakrand,True,330
BenchmarkTest01931,weakrand,True,330
BenchmarkTest01934,weakrand,True,330
BenchmarkTest01940,cmdi,True,78
BenchmarkTest01965,sqli,False,89
BenchmarkTest01967,sqli,False,89
BenchmarkTest01969,sqli,False,89
BenchmarkTest01976,crypto,False,327
BenchmarkTest01984,pathtraver,False,22
BenchmarkTest02021,crypto,False,327
BenchmarkTest02023,crypto,True,327
BenchmarkTest02024,crypto,False,327
BenchmarkTest02032,pathtraver,True,22
BenchmarkTest02066,securecookie,False,614
BenchmarkTest02069,cmdi,False,78
BenchmarkTest02071,weakrand,False,330
BenchmarkTest02072,weakrand,False,330
BenchmarkTest02074,weakrand,False,330
BenchmarkTest02079,weakrand,False,330
BenchmarkTest02093,sqli,False,89
BenchmarkTest02094,sqli,True,89
BenchmarkTest02108,pathtraver,False,22
BenchmarkTest02117,weakrand,True,330
BenchmarkTest02121,hash,True,328
BenchmarkTest02129,xss,True,79
BenchmarkTest02136,xss,True,79
BenchmarkTest02145,xss,True,79
BenchmarkTest02154,cmdi,True,78
BenchmarkTest02168,trustbound,False,501
BenchmarkTest02169,sqli,True,89
BenchmarkTest02170,sqli,True,89
BenchmarkTest02173,sqli,False,89
BenchmarkTest02180,sqli,False,89
BenchmarkTest02183,sqli,False,89
BenchmarkTest02190,crypto,False,327
BenchmarkTest02204,pathtraver,False,22
BenchmarkTest02214,hash,False,328
BenchmarkTest02218,hash,False,328
BenchmarkTest02226,xss,False,79
BenchmarkTest02229,xss,False,79
BenchmarkTest02261,trustbound,True,501
BenchmarkTest02281,sqli,True,89
BenchmarkTest02286,sqli,True,89
BenchmarkTest02302,pathtraver,True,22
BenchmarkTest02319,xss,False,79
BenchmarkTest02321,xss,True,79
BenchmarkTest02333,cmdi,True,78
BenchmarkTest02335,cmdi,False,78
BenchmarkTest02336,cmdi,False,78
BenchmarkTest02350,weakrand,False,330
BenchmarkTest02360,sqli,True,89
BenchmarkTest02363,sqli,False,89
BenchmarkTest02376,ldapi,False,90
BenchmarkTest02377,pathtraver,True,22
BenchmarkTest02379,pathtraver,False,22
BenchmarkTest02382,pathtraver,False,22
BenchmarkTest02386,hash,True,328
BenchmarkTest02395,xss,True,79
BenchmarkTest02398,xss,False,79
